start,end,a0,b0,a1,b1,a1-a0,b1-b0,no_bclass_count
175.214.,175.255.,175,214,175,255,0,42,40
118.37.,118.63.,118,37,118,63,0,27,25
27.160.,27.183.,27,160,27,183,0,24,22
14.77.,14.95.,14,77,14,95,0,19,17
183.111.,183.127.,183,111,183,127,0,17,15
124.48.,124.63.,124,48,124,63,0,16,14
112.144.,112.159.,112,144,112,159,0,16,14
49.160.,49.175.,49,160,49,175,0,16,14
1.98.,1.111.,1,98,1,111,0,14,12
223.32.,223.40.,223,32,223,40,0,9,7
106.241.,106.249.,106,241,106,249,0,9,7
59.18.,59.26.,59,18,59,26,0,9,7
119.64.,119.71.,119,64,119,71,0,8,6
112.184.,112.191.,112,184,112,191,0,8,6
27.232.,27.239.,27,232,27,239,0,8,6
49.56.,49.63.,49,56,49,63,0,8,6
115.136.,115.143.,115,136,115,143,0,8,6
221.151.,221.158.,221,151,221,158,0,8,6
42.8.,42.15.,42,8,42,15,0,8,6
42.36.,42.42.,42,36,42,42,0,7,5
121.181.,121.187.,121,181,121,187,0,7,5
112.217.,112.223.,112,217,112,223,0,7,5
121.172.,121.177.,121,172,121,177,0,6,4
123.42.,123.47.,123,42,123,47,0,6,4
222.96.,222.101.,222,96,222,101,0,6,4
121.135.,121.139.,121,135,121,139,0,5,3
121.164.,121.168.,121,164,121,168,0,5,3
121.177.,121.181.,121,177,121,181,0,5,3
58.72.,58.76.,58,72,58,76,0,5,3
1.209.,1.213.,1,209,1,213,0,5,3
16.184.,16.187.,16,184,16,187,0,4,2
58.76.,58.79.,58,76,58,79,0,4,2
110.68.,110.71.,110,68,110,71,0,4,2
175.197.,175.200.,175,197,175,200,0,4,2
58.124.,58.127.,58,124,58,127,0,4,2
222.232.,222.235.,222,232,222,235,0,4,2
110.8.,110.11.,110,8,110,11,0,4,2
183.98.,183.101.,183,98,183,101,0,4,2
220.120.,220.123.,220,120,220,123,0,4,2
14.53.,14.56.,14,53,14,56,0,4,2
1.249.,1.252.,1,249,1,252,0,4,2
14.44.,14.47.,14,44,14,47,0,4,2
